asset_number,title,original_department,added_department
2,Wave Bioreactor 500/1000,,MF
3,2-8°C Cold Room,PD,
4,2-8°C Refrigerator,,
7,Revco -20°C Freezer,QC,
8,VWR 2-8°C Refrigerator Double-Door,,
9,Thermo C02 Incubator (TOP),,
10,Thermo C02 Incubator (BOTTOM),,
11,ThermoForma BSC (CLASS II A/B3) 4-Foot,,
12,Waterbath,MF,
13,Allegra X-12R Centrifuge Catalog # 392302  System ID #479610,,MF
15,Pump,PD,
16,Pump,PD,
17,Pump,,
18,Pipet lite LTS 12-CH pipet 20-200ul,QC,
19,Pipet lite LTS 12-CH pipet 100-1000ul,QC,
20,Pipette lite LTS pipet 20-200ul,QC,
21,Pipettte lite LTS pipet 10-100ul,QC,
22,Pipette lite LTS pipet 0.5-10ul,QC,
23,Pipette lite LTS pipet 2-20ul,,
24,Pipet lite LTS pipet 2-20ul,,
25,Pipette lite LTS pipet 2-20ul,QC,
26,Pipet lite LTS pipet 20-200ul,QC,
27,Pipette lite LTS pipet 20-200ul,,
28,Pipet lite LTS pipet 20-200ul,QC,
29,Pipet lite LTS pipet 100-1000ul,PD,
30,Pipet lite LTS pipet 100-1000ul,QC,
31,Pipet lite LTS pipet 100-1000ul,QC,
32,Particle Counter with Temp/RH Sensor (Part # G3120),,
33,Spectratest ABS1 Validation Plate,QC,
34,Spectramax 190 Ext Microplate Reader,QC,
35,Column Manometer (0-10 Bar),PD,
36,Column Manometer (0-10 Bar),,
37,Column Manometer (0-10 Bar),PD,
38,Orbital Shaker,,
39,Hemacytometer,PD,
40,Digital Long Stem Thermometer,,
42,Digital Long Stem Thermometer,PD,
43,Digital Long Stem Thermometer,,
44,Digital Long Stem Thermometer,PD,
56,Traceable Four Channel Alarm Timer,,
57,Traceable Four Channel Alarm Timer,,
58,Traceable Four Channel Alarm Timer,,
59,Traceable Four Channel Alarm Timer,,
60,Traceable Four Channel Alarm Timer,,
61,Traceable Four Channel Alarm Timer,,
66,Thermometer- Freezer,,
69,Kenmore Refrigerator,PD,
71,Cabinet CO(2) Incubator,PD,
72,Water Bath,PD,
73,CO(2) Incubator,,
74,Co2 Incubator,,
75,CO(2) Incubator,,
76,CO(2) Incubator,,
79,Thermometer- Incubator,,
80,Thermometer- Incubator,,
82,Wave 20/50 EH cell cultures unit,,
83,CO(2) monitor mixer pump for Wave 20/50 EH unit,,
89,pH Benchtop Meter,,
90,Psychrometer,,
