asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
0002,Wave Bioreactor 500/1000,,Wave Biotech,BASE500EH,0006.0305.500EH,,,,No,Wave Bioreactor 500/1000,Wave rocker for cell expansion and harvest,Various see IOQ,Other,Yes,Yes,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,,
0003,2-8°C Cold Room,PD,See IOQ-05001,See IOQ-05001,See IOQ-05001,,,,No,2-8°C Cold Room,To store raw materials at 2-8°C that would be used in manufacturing,0°C to 40°C to capture if goes up to ambient,Other,Yes,No,Yes,n/a,+/- 0.5 C sensor vs calibrated probe,CAL-6,Yes,n/a,,PM-6,,,No,,,,Associated with chart 0496
0004,2-8°C Refrigerator,,VWR,R421GA14,025P-643502-PP,,,,No,2-8°C Refrigerator,Storage for process intermediates,2°C to 8°C,Other,No,Yes,Yes,n/a,2-8°C,CAL-12,Yes,n/a,,PM-12,,,No,,,05012-IOQ,
0007,Revco -20°C Freezer,QC,REVCO,UGL2320A18,024P-109208-PP,VWR,35960-176,961,No,Revco -20°C Freezer,Material storage and storage for process intermediates. Storage of QC supplies including reagents and test samples ,-15°C to -25°C,GMP,No,No,Yes,n/a,+/-2°C,CAL-6,Yes,n/a,Verify temperature system using NIST standard.  Inspect compressor operation. Check amperages and voltage at compressor.  Check all seals; gaskets; latches and hinges. Check back-up alarm battery out of circuit.  Inspect all relays.  Clean compressor compartment; condenser; fan blades and filter.  Remove ice build-up from sublids and breaker strips.,PM-6,Yes,Tier 3,Yes,N/A,Reference protocol # 05011-IOQ.,05011-IOQ,Chart Recorder with this freezer is 0495
0008,VWR 2-8°C Refrigerator Double-Door,,VWR,GDM-47,1-4078785,VWR,82009-780,990,No,VWR 2-8°C Refrigerator Double-Door,Storage for process intermediates,2°C to Ambient,Other,No,Yes,Yes,n/a,+/- 1,CAL-12,Yes,n/a,,PM-12,,,No,,,07063-IOQ,PD Pilot lab main purification room (MS13May15) Associated with chart 0251
0009,Thermo C02 Incubator (TOP),,Thermo Electron Corp.,51201075,S05031759,,,,No,Thermo C02 Incubator (TOP),Equipment assists in the maintenance and growth of cells,5°C to 50°C,Other,Yes,Yes,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,,
0010,Thermo C02 Incubator (BOTTOM),,Thermo Electron Corp.,51201076,S05031760,,,,No,Thermo C02 Incubator (BOTTOM),Equipment assists in the maintenance and growth of cells,5°C to 50°C,Other,Yes,Yes,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,,
0011,ThermoForma BSC (CLASS II A/B3) 4-Foot,,ThermoForma,1284,22387-1904,Dov Bid,N/A,2601,No,ThermoForma BSC (CLASS II A/B3) 4-Foot,Aseptic processing in cell culture room,n/a,Other,No,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
0012,Waterbath,MF,VWR,1224,12058204,VWR,14231-854,889,Yes,Waterbath,Warm media  and media components to ~37°C,15°C to 45°C,GMP,No,Yes,Yes,n/a,temp: 37.0 +/- 0.5°C,CAL-6,No,Manual outlines general cleaning only,n/a,FALSE,Yes,Tier 3,Yes,n/a,Reference protocol # 06010-IOQ,06010-IOQ,Previously Alert's service sht was used as PM. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked.
0013,Allegra X-12R Centrifuge Catalog # 392302  System ID #479610,,Beckman Coulter,ALLEGRA X-12R,ALX05A13,VWR,BK392302,889,No,Allegra X-12R Centrifuge Catalog # 392302  System ID #479610,Seperation of media and cells,n/a,GMP,Yes,No,Yes,n/a,Rotation: 200 (low pt); 1200 (middle pt); 3750 (high pt) all +/- 50 RPM; Temp: 4 +/- 2°C;  Time: 5 +/- 1 min;,CAL-6,Yes,n/a,,PM-6,,,No,,,06007-IOQ; 07056-IOQ,Need to document voltage and amperage on PM sheet;  If fault codes will not clear; press enter button; 912; and then the CE button.
